Sku	Descrição	Sessão	Sub Sessão	Marca	Fabricante	NCM	Ean13	Peso	Peso com embalagem	Comprimento	Largura	Altura	Foto	Preço	Preço Promocional	Possuí estoque
74628	BATENTE INFERIOR SUSP. DIANT. DAILY 3510 / 4012 / 4910 / 4912 / 5912 / 6012 / 7012 / 3513 / 3813 / 4013 / 5013 / 6013 / 7013 2.8 8V 99/07 / DAILY 3.0 16V 35S14 / 45S14 / 45S16 / 45S17 / 55C16 / 55C17 / 7016C / 70C17 08/... - ORIGINAL IVECO	Auto Peças	Original Iveco	Original Iveco			6972885544778	80		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74628.jpg	7,55	7,55	N
74629	BRACO OSCILANTE SUSP. DIANT. INF. LD DAILY 3510 / 4012 / 4910 / 4912 / 5912 / 6012 / 7012 / 3513 / 3813 / 4013 / 5013 / 6013 / 7013 2.8 8V 97/07 / 35S14 / 35S14 HD / 40S16 / 45S14 / 45S16 / 55C16 / 40S14 / 45S17 / 50C17 / 55C17 3.0 16V EURO 3/5 08/... /	Auto Peças	Original Iveco	Original Iveco				4600		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74629.jpg	280,09	280,09	N
74630	BRACO OSCILANTE SUSP. DIANT. INF. LE DAILY 3510 / 4012 / 4910 / 4912 / 5912 / 6012 / 7012 / 3513 / 3813 / 4013 / 5013 / 6013 / 7013 2.8 8V 97/07 / 35S14 / 35S14 HD / 40S16 / 45S14 / 45S16 / 55C16 / 40S14 / 45S17 / 50C17 / 55C17 3.0 16V EURO 3/5 08/... /	Auto Peças	Original Iveco	Original Iveco				4610		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74630.jpg	280,14	280,14	N
74631	BUCHA BANDEJA INFERIOR DAILY 3510 / 4012 / 4910 / 4912 / 5912 / 6012 / 7012 /  3513 / 3813 / 4013 / 5013 / 6013 / 7013 2.8 8V 97/07 / 35S14 / 40S16 / 45S14 / 45S16 / 55C16 / 35S14HD / 40S14 / 45S17 / 50C17 / 55C17 3.0 16V 08/18 / DAILY MY 55170 2.3 16V E	Auto Peças	Original Iveco	Original Iveco			6972885544761	190		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74631.jpg	17,83	17,83	N
74632	BUCHA BANDEJA SUPERIOR  DAILY 3510 / 4012 / 4910 / 4912 / 5912 / 6012 / 7012 /  3513 / 3813 / 4013 / 5013 / 6013 / 7013 2.8 8V 97/07 / 35S14 / 40S16 / 45S14 / 45S16 / 55C16 / 35S14HD / 40S14 / 45S17 / 50C17 / 55C17 3.0 16V 08/18 / DAILY MY 55170 2.3 16V	Auto Peças	Original Iveco	Original Iveco		87089990	6972885544686	320		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74632.jpg	22,52	22,52	N
74633	BUCHA BARRA ESTABILIZADORA DIANT. DAILY 5912 / 6012 / 7012 / 6013 / 7013 2.8 8V 97/07 / 70C16 / 70C16HD / 70C17 / 70C17HD 3.0 16V EURO 3/5 08/... / DAILY MY 65170 / 70170 2.3 16V EURO 5 19/... (36 MM) - ORIGINAL IVECO	Auto Peças	Original Iveco	Original Iveco			6972885544655	40		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74633.jpg	12,41	12,41	N
74634	BUCHA QUADRO SUSP. SUPERIOR DAILY 3510 / 4012 / 4910 / 4912 / 5912 / 6012 / 7012 / 3513 / 3813 / 4013 / 5013 / 6013 / 7013 2.8 8V 97/07 / 35S14 / 40S16 / 45S14 / 45S16 / 55C16 / 35S14HD / 40S14 / 45S17 / 50C17 / 55C17 3.0 16V 08/18 / DAILY MY 55170 2.3 1	Auto Peças	Original Iveco	Original Iveco				230		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74634.jpg	23,28	23,28	N
74635	CALOTA RODA DIANT. DAILY 3510 / 4012 / 4910 / 4912 / 3513 / 3813 / 4013 / 5013 2.8 8V 97/07 - ORIGINAL IVECO	Auto Peças	Original Iveco	Original Iveco			6972885544891	230		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74635.jpg	23,96	23,96	N
74636	SUPORTE BARRA ESTABILIZADORA TRAS. DAILY 3510 / 3513 / 3813 / 4012 / 4013 / 4912 / 5013 2.8 8V 97/07 / 35S14 / 45S14 / 45S16 / 45S17 / 55C16 / 55C17 3.0 16V EURO 3/5 08/... - ORIGINAL IVECO	Auto Peças	Original Iveco	Original Iveco			6972885544884	240		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74636.jpg	20,5	20,5	N
74637	CHAVE SETA DAILY 3510 / 4910 / 4912 / 5912 / 6012 / 7012 2.8 8V 97/05 - ORIGINAL IVECO	Auto Peças	Original Iveco	Original Iveco			6972885544785	740		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74637.jpg	143,33	143,33	N
74638	HIDROVACUO COMPLETO (CIL. MESTRE + RESERVATORIO) DAILY 3510 / 4012 / 3513 / 4013 2.8 8V 97/07 - ORIGINAL IVECO	Auto Peças	Original Iveco	Original Iveco			6972885545010	1350		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74638.jpg	514,24	514,24	N
74639	RODA FONICA FREIO ABS (COROA DENTADA) TRAS. DAILY 35S14 / 45S14 / 45S16 / 45S17 / 55C16 / 55C17 3.0 16V 08/18 / DAILY MY 35150 / 45170 / 55170 2.3 16V 19/... - ORIGINAL IVECO	Auto Peças	Original Iveco	Original Iveco			6972885544716	280		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74639.jpg	104,51	104,51	N
74640	COROA E PINHAO DAILY 3510 / 4012 / 4910 / 4912 2.8 8V 97/02 (12x47 SISTEMA ITALIANO) - ORIGINAL IVECO	Auto Peças	Original Iveco			87085099	6972885544938	8030	8030	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74640.jpg	896,72	896,72	S
74641	FECHADURA CAPO DAILY 35S14 / 40S16 / 45S14 / 45S16 / 55C16 / 70C15 / 70C16 / 40S14 / 45S17 / 50C17 / 55C17 / 70C17 3.0 16V 08/... / DAILY 30S13 CITY 2.3 16V 18/... - ORIGINAL IVECO	Auto Peças	Original Iveco			83012000	6972885544976	220	220	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74641.jpg	21,65	21,65	S
74642	GUIA PORTA CORREDICA CENTRAL DAILY FURGAO 35S14 / 40C14 / 40S14 / 45S14 / 45S16 / 45S17 / 50C15 / 50C17 / 55C16 / 55C17 3.0 16V 08/... - ORIGINAL IVECO	Auto Peças	Original Iveco			87082999	6972885545102	140	140	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74642.jpg	119,11	119,11	S
74643	JUNTA TURBINA (COLETOR DE ESCAPE) DAILY 35S14 / 40S16 / 45S14 / 45S16 / 55C16 / 70C15 / 70C16 / 35S14 / 40S14 / 45S17 / 50C17 / 55C17 / 70C17 3.0 16V 08/... / DAILY MY 35150 2.3 16V 19/... - ORIGINAL IVECO	Auto Peças	Original Iveco	Original Iveco			6972885544839	10		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74643.jpg	5,55	5,55	S
74644	JUNTA COLETOR ESCAPE DAILY 3510 / 4012 / 4910 / 4912 / 5912 / 6012 / 7012 / 3513 / 3813 / 4013 / 5013 / 6013 / 7013 2.8 8V 97/07 / DUCATO / BOXER / JUMPER 2.8 8V 99/09 - ORIGINAL IVECO	Auto Peças	Original Iveco	Original Iveco				10		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74644.jpg	3,03	3,03	N
74645	JUNTA COLETOR ESCAPE DAILY 35S14 / 40S14 / 45S17 / 50C17 / 55C17 /70C17 3.0 16V 08/... - ORIGINAL IVECO	Auto Peças	Original Iveco	Original Iveco			6972885544815	110		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74645.jpg	32,36	32,36	N
